"Source:","C:\Users\bjorn\OneDrive\Projects\µTracer\Schematic\PowerInput\PowerInput.kicad_sch"
"Date:","Fri May 12 08:12:02 2023"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","29"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C101","47nF X2","Device:C","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","~"
"","","C102","470µF 25V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P7.50mm","~"
"","","D101","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","D102","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"","","F101","T1A","Device:Fuse","Fuse:Fuse_Littelfuse_372_D8.50mm","~"
"","","F102","T3.15A","Device:Fuse","Fuse:Fuse_Littelfuse_372_D8.50mm","~"
"","","F103","T3.15A","Device:Fuse","Fuse:Fuse_Littelfuse_372_D8.50mm","~"
"","","FB101","Würth 74279223560","Device:FerriteBead","Inductor_SMD:L_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"","","FB102","Würth 74279223560","Device:FerriteBead","Inductor_SMD:L_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~"
"","","H101","Chassis","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"","","H102","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H103","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H104","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H105","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
